date,industry_class,volatility,VIX
2011-01-24,"Agriculture, Forestry and Fishing",22.18446175531172,17.65
2011-01-24,Mining,27.62896892346188,17.65
2011-01-24,Construction,35.0606702658688,17.65
2011-01-24,Manufacturing,21.776539673210895,17.65
2011-01-24,Transportation and other Utilities,16.945190047138762,17.65
2011-01-24,Wholesale Trade,22.387299024152416,17.65
2011-01-24,Retail Trade,19.969739622355842,17.65
2011-01-24,"Finance, Insurance and Real Estate",21.22290526503594,17.65
2011-01-24,Services,24.686847126795715,17.65
2011-01-24,Public Administration,37.25372828230607,17.65
2011-01-25,"Agriculture, Forestry and Fishing",22.770800821566898,17.59
2011-01-25,Mining,27.63972988217968,17.59
2011-01-25,Construction,34.5094096202334,17.59
2011-01-25,Manufacturing,21.715533380523617,17.59
2011-01-25,Transportation and other Utilities,16.642308845088692,17.59
2011-01-25,Wholesale Trade,22.391142151971703,17.59
2011-01-25,Retail Trade,20.208469521332468,17.59
2011-01-25,"Finance, Insurance and Real Estate",20.267671800022114,17.59
2011-01-25,Services,24.03098957564925,17.59
2011-01-25,Public Administration,36.69362395795981,17.59
2011-01-26,"Agriculture, Forestry and Fishing",20.670843351251143,16.64
2011-01-26,Mining,30.168123845102812,16.64
2011-01-26,Construction,32.77483561985101,16.64
2011-01-26,Manufacturing,22.115800663985084,16.64
2011-01-26,Transportation and other Utilities,16.721461503592835,16.64
2011-01-26,Wholesale Trade,22.139962631381206,16.64
2011-01-26,Retail Trade,19.849129482626502,16.64
2011-01-26,"Finance, Insurance and Real Estate",20.091927724058145,16.64
2011-01-26,Services,24.457520174009417,16.64
2011-01-26,Public Administration,38.132914427228734,16.64
2011-01-27,"Agriculture, Forestry and Fishing",20.733553834919814,16.15
2011-01-27,Mining,30.79968780251545,16.15
2011-01-27,Construction,33.43858139460469,16.15
2011-01-27,Manufacturing,22.593029675579693,16.15
2011-01-27,Transportation and other Utilities,16.580981661404664,16.15
2011-01-27,Wholesale Trade,22.422662417194342,16.15
2011-01-27,Retail Trade,19.749888408540286,16.15
2011-01-27,"Finance, Insurance and Real Estate",19.993889216933837,16.15
2011-01-27,Services,24.4104591634724,16.15
2011-01-27,Public Administration,37.27541239187346,16.15
2011-01-28,"Agriculture, Forestry and Fishing",26.374276304532952,20.04
2011-01-28,Mining,31.100897062446933,20.04
2011-01-28,Construction,34.914541529412915,20.04
2011-01-28,Manufacturing,24.063682573356306,20.04
2011-01-28,Transportation and other Utilities,18.45527339463665,20.04
2011-01-28,Wholesale Trade,22.85427666462176,20.04
2011-01-28,Retail Trade,20.14831335955541,20.04
2011-01-28,"Finance, Insurance and Real Estate",21.614254712215157,20.04
2011-01-28,Services,27.1820990712814,20.04
2011-01-28,Public Administration,38.66389552122547,20.04
2011-01-31,"Agriculture, Forestry and Fishing",26.651227681296525,19.53
2011-01-31,Mining,32.97852306506242,19.53
2011-01-31,Construction,34.976288172641105,19.53
2011-01-31,Manufacturing,24.44376278166686,19.53
2011-01-31,Transportation and other Utilities,18.414940200309662,19.53
2011-01-31,Wholesale Trade,23.080450317028266,19.53
2011-01-31,Retail Trade,20.6408548183392,19.53
2011-01-31,"Finance, Insurance and Real Estate",21.7708882055912,19.53
2011-01-31,Services,27.11240794487819,19.53
2011-01-31,Public Administration,39.52667101883306,19.53
2011-02-01,"Agriculture, Forestry and Fishing",27.43297371351594,17.63
2011-02-01,Mining,33.99560514601972,17.63
2011-02-01,Construction,35.91671423161544,17.63
2011-02-01,Manufacturing,25.77663214737929,17.63
2011-02-01,Transportation and other Utilities,19.468167798913175,17.63
2011-02-01,Wholesale Trade,24.32860133782792,17.63
2011-02-01,Retail Trade,21.01009912751407,17.63
2011-02-01,"Finance, Insurance and Real Estate",23.146547900309315,17.63
2011-02-01,Services,28.693939879929133,17.63
2011-02-01,Public Administration,40.70051864292693,17.63
2011-02-02,"Agriculture, Forestry and Fishing",27.38106850220009,17.3
2011-02-02,Mining,33.24045018838236,17.3
2011-02-02,Construction,34.678680091782276,17.3
2011-02-02,Manufacturing,25.907200590542864,17.3
2011-02-02,Transportation and other Utilities,19.6696055345563,17.3
2011-02-02,Wholesale Trade,24.55671481397522,17.3
2011-02-02,Retail Trade,21.268998569507133,17.3
2011-02-02,"Finance, Insurance and Real Estate",23.236990155995738,17.3
2011-02-02,Services,29.286555648407134,17.3
2011-02-02,Public Administration,40.452754480795605,17.3
2011-02-03,"Agriculture, Forestry and Fishing",27.165066939380136,16.69
2011-02-03,Mining,33.60338709121127,16.69
2011-02-03,Construction,34.39805376202328,16.69
2011-02-03,Manufacturing,25.867551161975175,16.69
2011-02-03,Transportation and other Utilities,19.752179893142266,16.69
2011-02-03,Wholesale Trade,24.542397103455386,16.69
2011-02-03,Retail Trade,22.535114477267445,16.69
2011-02-03,"Finance, Insurance and Real Estate",22.68465731974888,16.69
2011-02-03,Services,29.309402902549202,16.69
2011-02-03,Public Administration,40.070809510750344,16.69
2011-02-04,"Agriculture, Forestry and Fishing",27.20444236269372,15.93
2011-02-04,Mining,32.64597083864787,15.93
2011-02-04,Construction,34.35757793233032,15.93
2011-02-04,Manufacturing,25.993265759268812,15.93
2011-02-04,Transportation and other Utilities,19.78367497077893,15.93
2011-02-04,Wholesale Trade,24.61643840328254,15.93
2011-02-04,Retail Trade,22.59803436611244,15.93
2011-02-04,"Finance, Insurance and Real Estate",22.86333559986288,15.93
2011-02-04,Services,29.53654690679048,15.93
2011-02-04,Public Administration,39.73908956539753,15.93
2011-02-07,"Agriculture, Forestry and Fishing",27.404107065788608,16.28
2011-02-07,Mining,32.48763000556024,16.28
2011-02-07,Construction,33.678676649032866,16.28
2011-02-07,Manufacturing,26.066444713117466,16.28
2011-02-07,Transportation and other Utilities,19.83902856858773,16.28
2011-02-07,Wholesale Trade,25.526901316197765,16.28
2011-02-07,Retail Trade,22.383940608442227,16.28
2011-02-07,"Finance, Insurance and Real Estate",22.675914579791666,16.28
2011-02-07,Services,29.457615958913358,16.28
2011-02-07,Public Administration,39.5852746817798,16.28
2011-02-08,"Agriculture, Forestry and Fishing",27.490659652663776,15.81
2011-02-08,Mining,32.483203120651616,15.81
2011-02-08,Construction,34.025186530185685,15.81
2011-02-08,Manufacturing,25.947702557016708,15.81
2011-02-08,Transportation and other Utilities,19.52345938469798,15.81
2011-02-08,Wholesale Trade,24.794830111154642,15.81
2011-02-08,Retail Trade,22.834519895431953,15.81
2011-02-08,"Finance, Insurance and Real Estate",22.404646282610674,15.81
2011-02-08,Services,29.37878983921876,15.81
2011-02-08,Public Administration,39.45127068015139,15.81
2011-02-09,"Agriculture, Forestry and Fishing",27.879609139780097,15.87
2011-02-09,Mining,32.71718264278925,15.87
2011-02-09,Construction,31.943129907686732,15.87
2011-02-09,Manufacturing,25.068695765832615,15.87
2011-02-09,Transportation and other Utilities,19.618311396571997,15.87
2011-02-09,Wholesale Trade,23.825540058372912,15.87
2011-02-09,Retail Trade,22.83716834984631,15.87
2011-02-09,"Finance, Insurance and Real Estate",21.29222911918295,15.87
2011-02-09,Services,29.19273289768013,15.87
2011-02-09,Public Administration,38.73096789742544,15.87
2011-02-10,"Agriculture, Forestry and Fishing",26.5480659010992,16.09
2011-02-10,Mining,32.312679607494964,16.09
2011-02-10,Construction,31.867685842689163,16.09
2011-02-10,Manufacturing,25.304656783805967,16.09
2011-02-10,Transportation and other Utilities,19.674646803351603,16.09
2011-02-10,Wholesale Trade,23.030448617817108,16.09
2011-02-10,Retail Trade,22.852158439630163,16.09
2011-02-10,"Finance, Insurance and Real Estate",21.162085533700083,16.09
2011-02-10,Services,28.969814436082995,16.09
2011-02-10,Public Administration,38.19569406025844,16.09
2011-02-11,"Agriculture, Forestry and Fishing",26.227465214083416,15.69
2011-02-11,Mining,32.04245332545174,15.69
2011-02-11,Construction,32.525065119568104,15.69
2011-02-11,Manufacturing,24.815896423037714,15.69
2011-02-11,Transportation and other Utilities,20.001078834547332,15.69
2011-02-11,Wholesale Trade,22.937095414355596,15.69
2011-02-11,Retail Trade,22.80828449397343,15.69
2011-02-11,"Finance, Insurance and Real Estate",21.2402729917173,15.69
2011-02-11,Services,28.778188927620338,15.69
2011-02-11,Public Administration,38.77320298787653,15.69
2011-02-14,"Agriculture, Forestry and Fishing",25.987236876181115,15.95
2011-02-14,Mining,32.732659196604416,15.95
2011-02-14,Construction,31.253922863821774,15.95
2011-02-14,Manufacturing,24.4150751252565,15.95
2011-02-14,Transportation and other Utilities,20.021529160564132,15.95
2011-02-14,Wholesale Trade,23.125929201824665,15.95
2011-02-14,Retail Trade,23.11482458566509,15.95
2011-02-14,"Finance, Insurance and Real Estate",20.88052221339786,15.95
2011-02-14,Services,28.496020342042616,15.95
2011-02-14,Public Administration,38.72947178429462,15.95
2011-02-15,"Agriculture, Forestry and Fishing",25.047778669703696,16.37
2011-02-15,Mining,32.52768249142109,16.37
2011-02-15,Construction,31.46088810163143,16.37
2011-02-15,Manufacturing,24.370119190898045,16.37
2011-02-15,Transportation and other Utilities,20.014310682792924,16.37
2011-02-15,Wholesale Trade,23.096107145477156,16.37
2011-02-15,Retail Trade,22.489371119806798,16.37
2011-02-15,"Finance, Insurance and Real Estate",20.775695221497546,16.37
2011-02-15,Services,28.46480211717056,16.37
2011-02-15,Public Administration,38.499211015555055,16.37
2011-02-16,"Agriculture, Forestry and Fishing",24.77594762188954,16.72
2011-02-16,Mining,30.959606671428222,16.72
2011-02-16,Construction,30.889530608378035,16.72
2011-02-16,Manufacturing,24.041997123133513,16.72
2011-02-16,Transportation and other Utilities,19.955392558266656,16.72
2011-02-16,Wholesale Trade,23.13527080529256,16.72
2011-02-16,Retail Trade,22.371620390211167,16.72
2011-02-16,"Finance, Insurance and Real Estate",20.788281209182543,16.72
2011-02-16,Services,27.91093699020495,16.72
2011-02-16,Public Administration,38.20249227033375,16.72
2011-02-17,"Agriculture, Forestry and Fishing",24.630769666851247,16.59
2011-02-17,Mining,30.06456777769162,16.59
2011-02-17,Construction,30.382445250492587,16.59
2011-02-17,Manufacturing,23.598412569763443,16.59
2011-02-17,Transportation and other Utilities,19.786796442321076,16.59
2011-02-17,Wholesale Trade,23.1129655104076,16.59
2011-02-17,Retail Trade,21.95715122163453,16.59
2011-02-17,"Finance, Insurance and Real Estate",20.5963891196722,16.59
2011-02-17,Services,27.95052641216287,16.59
2011-02-17,Public Administration,38.53911614918531,16.59
2011-02-18,"Agriculture, Forestry and Fishing",24.395816272467947,16.43
2011-02-18,Mining,29.66254768445403,16.43
2011-02-18,Construction,27.630604182280077,16.43
2011-02-18,Manufacturing,21.773602497660878,16.43
2011-02-18,Transportation and other Utilities,17.287705887536827,16.43
2011-02-18,Wholesale Trade,21.621609852672833,16.43
2011-02-18,Retail Trade,20.193363431366947,16.43
2011-02-18,"Finance, Insurance and Real Estate",18.27401950838935,16.43
2011-02-18,Services,24.235842683539886,16.43
2011-02-18,Public Administration,36.7226478507716,16.43
2011-02-22,"Agriculture, Forestry and Fishing",28.19816150051201,20.8
2011-02-22,Mining,29.6647011916236,20.8
2011-02-22,Construction,35.38155975560461,20.8
2011-02-22,Manufacturing,23.9388429619337,20.8
2011-02-22,Transportation and other Utilities,19.4880309118234,20.8
2011-02-22,Wholesale Trade,24.811084947579236,20.8
2011-02-22,Retail Trade,22.074553231288185,20.8
2011-02-22,"Finance, Insurance and Real Estate",21.6397843439531,20.8
2011-02-22,Services,27.895049178520214,20.8
2011-02-22,Public Administration,38.5330634844181,20.8
2011-02-23,"Agriculture, Forestry and Fishing",27.95212138621984,22.13
2011-02-23,Mining,29.885687175311045,22.13
2011-02-23,Construction,34.73281308239655,22.13
2011-02-23,Manufacturing,23.465745292043568,22.13
2011-02-23,Transportation and other Utilities,19.134019856379837,22.13
2011-02-23,Wholesale Trade,25.23755036436576,22.13
2011-02-23,Retail Trade,22.39668007011818,22.13
2011-02-23,"Finance, Insurance and Real Estate",20.25316511216691,22.13
2011-02-23,Services,26.968245785607586,22.13
2011-02-23,Public Administration,38.87407561051343,22.13
2011-02-24,"Agriculture, Forestry and Fishing",28.579464688150683,21.32
2011-02-24,Mining,30.996265531307763,21.32
2011-02-24,Construction,34.99451166378097,21.32
2011-02-24,Manufacturing,23.66648027190359,21.32
2011-02-24,Transportation and other Utilities,18.986681743902484,21.32
2011-02-24,Wholesale Trade,24.902046770766244,21.32
2011-02-24,Retail Trade,22.98945828923779,21.32
2011-02-24,"Finance, Insurance and Real Estate",20.37616152258076,21.32
2011-02-24,Services,26.822647527169362,21.32
2011-02-24,Public Administration,40.487277669262866,21.32
2011-02-25,"Agriculture, Forestry and Fishing",29.86344571752484,19.22
2011-02-25,Mining,31.78071558172547,19.22
2011-02-25,Construction,35.512968300665634,19.22
2011-02-25,Manufacturing,24.164520410913248,19.22
2011-02-25,Transportation and other Utilities,19.433199818057226,19.22
2011-02-25,Wholesale Trade,25.502285338179178,19.22
2011-02-25,Retail Trade,22.173988209519308,19.22
2011-02-25,"Finance, Insurance and Real Estate",21.135838515416904,19.22
2011-02-25,Services,27.570350742379308,19.22
2011-02-25,Public Administration,41.725338272494724,19.22
2011-02-28,"Agriculture, Forestry and Fishing",30.806122061980318,18.35
